Date,Price,Open,High,Low,Vol,percent
"Oct 17, 2014",47836.69,46996.24,47884.49,46891.44,281.46M,2.04%
"Oct 16, 2014",46881.12,46942.27,47195.1,46068.08,252.99M,0.45%
"Oct 15, 2014",46673.38,47761.23,47761.94,46358.62,299.53M,-2.13%
"Oct 14, 2014",47686.85,47329.59,47839.18,47004.73,183.64M,0.67%
"Oct 13, 2014",47368.34,47115.35,47650.05,46811.1,182.55M,0.59%
"Oct 10, 2014",47092.24,47497.34,47736.15,47092.24,196.04M,-2.16%
"Oct 09, 2014",48133.52,48668.86,48869.8,48095.61,201.90M,0.21%
"Oct 08, 2014",48033.62,48355.84,48581.29,48033.62,208.52M,-1.39%
"Oct 07, 2014",48712.45,49310.58,49310.58,48712.45,161.15M,-0.92%
"Oct 06, 2014",49166.2,48727.58,49374.18,48609.7,164.85M,1.14%
"Oct 03, 2014",48613.19,48562.18,48754.1,48407.22,-,0.88%
"Oct 02, 2014",48189.06,48805.74,48877.8,48189.06,171.36M,-1.40%
"Oct 01, 2014",48875.03,49258.63,49543.32,48859,200.70M,-0.93%
"Sep 30, 2014",49336.31,49404.86,49420.58,49131.88,216.16M,-0.07%
"Sep 29, 2014",49371.12,49581.84,49672.68,49218.39,149.29M,-0.59%
"Sep 26, 2014",49663.64,49390.83,49692.1,49198.58,176.74M,0.32%
"Sep 25, 2014",49503.55,50418.23,50418.23,49466.96,181.82M,-1.10%
"Sep 23, 2014",50053.91,50627.79,50627.79,49809.32,202.41M,-0.85%
"Sep 22, 2014",50485.53,51155.32,51155.32,50485.53,176.21M,-1.90%
"Sep 19, 2014",51462.42,51873.9,51902.92,51462.42,262.91M,-0.16%
"Sep 18, 2014",51547.02,51241.03,51578.03,51136.43,285.72M,0.73%
"Sep 17, 2014",51173.03,51311.41,51411.25,51096.01,198.39M,-0.01%
"Sep 16, 2014",51178.07,51215.51,51231.93,50918.33,188.62M,-0.39%
"Sep 15, 2014",51376.57,51247.71,51531.46,51247.71,196.10M,0.25%
"Sep 12, 2014",51247.71,51503.96,51521.78,51128.66,189.08M,0.03%
"Sep 11, 2014",51230.89,51516.31,51516.31,51189.23,148.07M,-0.06%
"Sep 10, 2014",51263.48,51605.95,51628.57,51230.55,185.94M,-0.86%
"Sep 09, 2014",51707.25,51664.31,51848.16,51598.48,146.45M,0.19%
"Sep 08, 2014",51610.13,51590.8,51866.65,51574.69,159.23M,-0.35%
"Sep 05, 2014",51789.4,52029.79,52030.01,51575.45,144.16M,-0.56%
"Sep 04, 2014",52081.22,51702.62,52081.22,51702.62,195.32M,0.56%
"Sep 03, 2014",51793.65,51612.86,51887.34,51441.51,188.00M,0.64%
"Sep 02, 2014",51462.57,51141.3,51534.39,51141.3,166.54M,0.68%
"Sep 01, 2014",51113.87,51093.22,51210.01,50950.45,108.77M,0.30%
"Aug 29, 2014",50959.02,51131.4,51131.4,50804.61,200.39M,-0.34%
"Aug 28, 2014",51133.13,51466.89,51466.89,51099.24,155.55M,-0.92%
"Aug 27, 2014",51610.42,51731.98,51862.77,51536.64,188.70M,-0.23%
"Aug 26, 2014",51729.68,51387.89,51729.68,51362.44,148.56M,0.57%
"Aug 25, 2014",51437.58,51264.7,51437.58,51098.17,86.18M,0.47%
"Aug 22, 2014",51197.16,51514.59,51537.98,51096.93,154.42M,-0.48%
"Aug 21, 2014",51443.43,51376.96,51582.37,51187.48,316.02M,0.01%
"Aug 20, 2014",51436.59,51477.5,51477.5,50995.9,173.51M,0.14%
"Aug 19, 2014",51363.37,51600.58,51805.86,51253.2,157.88M,-0.40%
"Aug 18, 2014",51572.19,51353.11,51600.05,51353.11,137.98M,0.61%
"Aug 15, 2014",51257.72,51314.91,51482.21,51192.89,153.59M,0.36%
"Aug 14, 2014",51073.9,51146.1,51296.29,51066.17,194.68M,-0.38%
"Aug 13, 2014",51266.51,51546.54,51736.13,51183.22,243.14M,-0.35%
"Aug 12, 2014",51449.01,51537.64,51711.29,51431.32,127.23M,-0.14%
"Aug 11, 2014",51523.27,50989.43,51591.29,50978.88,132.84M,1.68%
"Aug 08, 2014",50669.95,50431.38,50759.12,50233.11,344.48M,-0.01%
"Aug 07, 2014",50674.61,51056.33,51123.67,50669.03,443.34M,-0.82%
"Aug 06, 2014",51091.8,51216.72,51310.83,50772.7,301.59M,-0.50%
"Aug 05, 2014",51349.11,51366.3,51624.82,51275.59,152.94M,0.21%
"Aug 04, 2014",51239.56,50952.78,51318.89,50897.07,152.65M,0.63%
"Aug 01, 2014",50917.78,51248.85,51251.59,50628.51,167.83M,-0.93%
"Jul 31, 2014",51396.07,51738.81,51738.81,51396.07,167.33M,-0.72%
"Jul 30, 2014",51770.59,52238.79,52238.79,51738.34,168.66M,-0.90%
"Jul 29, 2014",52242.12,52188.22,52323.61,52154.67,152.68M,0.61%
"Jul 28, 2014",51927.57,51748.02,51999.9,51748.02,135.06M,0.73%
"Jul 25, 2014",51550.17,51716.65,51752.86,51523.52,158.70M,-0.14%
"Jul 24, 2014",51621.52,52010.61,52010.61,51613.51,155.52M,-0.56%
"Jul 23, 2014",51910.92,51885.56,52052.27,51766.6,170.61M,-0.04%
"Jul 22, 2014",51931.33,51693.92,52019.39,51667.86,186.41M,0.99%
"Jul 21, 2014",51420.81,51672.8,51721.63,51354.97,576.26M,-0.53%
"Jul 18, 2014",51695.05,51660.99,51753.4,51339.76,144.91M,-0.18%
"Jul 17, 2014",51789.74,52038.07,52038.07,51605.12,115.97M,-0.55%
"Jul 16, 2014",52076.9,51739.38,52183.37,51677.21,179.49M,0.66%
"Jul 15, 2014",51735.29,51439.88,51803.93,51402.6,148.73M,0.38%
"Jul 14, 2014",51540.88,51327.12,51655.94,51321.27,137.24M,0.74%
"Jul 11, 2014",51161.33,51122.79,51196.85,50887.03,126.34M,0.33%
"Jul 10, 2014",50994.46,51522.76,51522.76,50699.06,161.15M,-0.79%
"Jul 09, 2014",51401.46,51457.88,51480.27,51205.73,147.78M,-0.40%
"Jul 08, 2014",51608.33,51829,51854.84,51490.02,175.44M,-0.52%
"Jul 07, 2014",51877.11,52004.4,52125.99,51749.22,155.18M,-0.35%
"Jul 04, 2014",52060.03,51929.46,52060.03,51864.08,138.74M,0.27%
"Jul 03, 2014",51918.44,51914.82,52101.34,51678.93,319.84M,0.07%
"Jul 02, 2014",51883.71,51661.45,51978.38,51628.32,163.78M,0.78%
"Jul 01, 2014",51480.19,51051.99,51480.19,50947.61,129.87M,1.05%
"Jun 30, 2014",50945.26,50605.43,50945.26,50578.06,140.68M,0.63%
"Jun 27, 2014",50625.37,50757.77,50768.52,50527.5,129.47M,-0.27%
"Jun 26, 2014",50761.82,50566.81,50822.64,50453.62,140.97M,0.82%
"Jun 25, 2014",50350.61,50714.85,50763.05,50190.4,136.36M,-1.06%
"Jun 24, 2014",50890.92,51058.86,51113.67,50733.67,577.39M,-0.33%
"Jun 23, 2014",51058.27,51206.75,51235.39,50842.65,121.31M,-0.52%
"Jun 20, 2014",51322.67,51247.67,51397.11,51234.42,249.31M,0.12%
"Jun 19, 2014",51263.5,50937.46,51324.14,50860.78,268.69M,1.12%
"Jun 18, 2014",50693.95,51015.57,51040.49,50654.01,164.61M,-0.43%
"Jun 17, 2014",50911.05,50903.97,50917.08,50733.96,188.40M,0.29%
"Jun 13, 2014",50763.71,50758.76,50811.7,50518.19,135.34M,0.33%
"Jun 12, 2014",50596.17,50719.65,50719.65,50488.51,161.86M,-0.12%
"Jun 11, 2014",50659.44,50824.99,50993.35,50659.44,180.09M,-0.15%
"Jun 10, 2014",50736.42,50267.08,50736.42,50193.3,191.57M,1.20%
"Jun 09, 2014",50134.53,50025.35,50188.7,49952.85,104.80M,0.40%
"Jun 06, 2014",49933.99,50073.8,50120.69,49873.01,140.86M,-0.13%
"Jun 05, 2014",50000.43,49875.96,50018.61,49729.71,169.10M,0.08%
